word,CEFR_level,pos
agricultural,B1,adjective
agriculture,B1,noun
ahead,A2,adverb
aid,B1,noun
aid,B1,verb
aim,B1,noun
aim,B2,verb
air,A2,noun
air conditioning,B1,noun
air force,B1,noun
aircraft,B2,noun
aircrew,B2,noun
airline,B1,noun
airplane/aeroplane,A1,noun
airport,A1,noun
aisle,A2,noun
alarm,A2,noun
alarm,B1,verb
alarm clock,A2,noun
album,A1,noun
alcohol,B1,noun
alcoholic,B1,adjective
alcoholic,B2,noun
alcoholism,B2,noun
alert,B2,verb
alike,B1,adjective
alike,B1,adverb
alive,A2,adjective
all,A2,adverb
all,A1,determiner
all,A1,pronoun
all right,A1,adjective
all right,A1,adverb
allegation,B2,noun
allergic,B1,adjective
alliance,B2,noun
allow,A2,verb
allowance,B1,noun
ally,B2,noun
almost,A1,adverb
alone,A2,adjective
alone,A1,adverb
along,A1,adverb
along,A2,preposition
alongside,B2,preposition
aloud,B1,adverb
alphabet,B1,noun
alphabetical,B2,adjective
already,A1,adverb
alright,A2,adjective
alright,A2,adverb
also,A1,adverb
altar,B2,noun
alter,B2,verb
alternate,B2,verb
alternative,B1,adjective
alternative,B1,noun
alternatively,B2,adverb
although,A2,conjunction
altitude,B2,noun
altogether,B1,adverb
aluminum/aluminium,B2,noun
always,A1,adverb
am,A1,be-verb
amaze,B2,verb
amazed,B1,adjective
amazement,B2,noun
amazing,B1,adjective
amazingly,B2,adverb
ambassador,B2,noun
ambiguity,B2,noun
ambiguous,B2,adjective
ambition,A2,noun
ambitious,B1,adjective
ambulance,B1,noun
ammonia,B2,noun
among,A2,preposition
amongst,B2,preposition
amount,B1,noun
ample,B2,adjective
amplifier,B2,noun
amplify,B2,verb
amuse,B2,verb
amused,A2,adjective
amusement,A2,noun
amusing,B1,adjective
an,A1,determiner
analogy,B2,noun
analysis,B1,noun
analyst,B2,noun
analyze/analyse,B1,verb
ancestor,A2,noun
anchor,B2,noun
anchorage,B2,noun
anchorman,B2,noun
anchorperson,B2,noun
ancient,A2,adjective
and,A1,conjunction
angel,A2,noun
anger,B1,noun
angle,B1,noun
angrily,A2,adverb
angry,A1,adjective
anguish,B2,noun
animal,A1,noun
animate,B2,verb
animated,B1,adjective
animation,B1,noun
ankle,A2,noun
anniversary,A2,noun
announce,B1,verb
announcement,B1,noun
annoy,A2,verb
annoyance,B1,noun
annoyed,B1,adjective
annoying,A2,adjective
annual,B1,adjective
annually,B1,adverb
anonymous,B2,adjective
another,A1,determiner
another,A2,pronoun
answer,A1,noun
answer,A1,verb
ant,B1,noun
anti,B1,adjective
antiaircraft,B2,adjective
antibacterial,B2,adjective
anticancer,B2,noun
anticipate,B2,verb
anticipation,B2,noun
antipollution,B2,noun
antique,B2,adjective
antique,B1,noun
antistatic,B2,adjective
antivirus,B2,noun
antonym,B1,noun
anxiety,B1,noun
anxious,A2,adjective
anxiously,B1,adverb
any,A1,determiner
any,A1,pronoun
anybody,A1,pronoun
anyhow,B1,adverb
anymore,A2,adverb
anyone,A1,pronoun
anything,A1,pronoun
anyway,A2,adverb
anywhere,A2,adverb
apart,A2,adverb
apartment,A2,noun
ape,B1,noun
apologize/apologise,A2,verb
apology,B1,noun
apostrophe,B2,noun
apparent,B1,adjective
apparently,A2,adverb
appeal,B1,noun
appeal,B2,verb
appear,A2,verb
appearance,A2,noun
appetite,B1,noun
applaud,B1,verb
applause,B1,noun
apple,A1,noun
applicant,B2,noun
application,B1,noun
apply,A2,verb
appoint,B1,verb
appointment,A2,noun
appreciate,A2,verb
appreciation,B1,noun
appreciative,B2,adjective
approach,B1,noun
approach,B2,verb
appropriate,A2,adjective
appropriately,B2,adverb
approval,B1,noun
approve,B1,verb
approximate,B2,adjective
approximately,B1,adverb
april,A1,noun
apron,A1,noun
arch,B2,noun
archaeologist/archeologist,B2,noun
architect,B1,noun
architecture,A2,noun
arctic,B2,adjective
are,A1,be-verb
area,A2,noun
arena,B2,noun
argue,A2,verb
argument,A2,noun
arise,B1,verb
aristocracy,B2,noun
arithmetic,B1,noun
arm,A1,noun
arm,B1,verb
armchair,A2,noun
armed,A2,adjective
armful,B2,noun
army,B1,noun
around,A2,adverb
around,A1,preposition
arouse,B2,verb
arrange,B1,verb
arrangement,B1,noun
arrest,B1,noun
arrest,B1,verb
arrival,B1,noun
arrive,A1,verb
arrogant,B2,adjective
arrow,B1,noun
art,A1,noun
artery,B2,noun
article,A1,noun
articulate,B2,verb
artificial,A2,adjective
artificially,B2,adverb
artist,B1,noun
artistic,B1,adjective
artistry,B2,noun
as,A2,conjunction
as,A1,preposition
ash,B2,noun
ashamed,B1,adjective
aside,B1,adverb
ask,A1,verb
asleep,A2,adjective
aspect,B1,noun
aspiration,B2,noun
aspire,B2,verb
aspirin,B1,noun
assault,B2,noun
assemble,B2,verb
assembly,B2,noun
assert,B2,verb
assess,B2,verb
assessment,B2,noun
assign,B1,verb
assignment,B1,noun
assist,B1,verb
assistance,B1,noun
assistant,A2,adjective
assistant,B1,noun
associate,B1,verb
association,A2,noun
assume,B1,verb
assumption,B2,noun
assurance,B2,noun
assure,B2,verb
astonish,B2,verb
astonished,B2,adjective
astonishing,B2,adjective
astonishment,B2,noun
astronaut,A2,noun
astronomer,B1,noun
astronomy,B2,noun
at,A1,preposition
athlete,A2,noun
athletic,B1,adjective
athletics,B2,noun
atlantic,B1,adjective
atmosphere,B1,noun
atom,A2,noun
atomic,B1,adjective
attach,B1,verb
attached,B2,adjective
attachment,B1,noun
attack,A2,noun
attack,A2,verb
attain,B1,verb
attainable,B2,adjective
attainment,B2,noun
attempt,A2,noun
attempt,B1,verb
attend,B1,verb
attendance,B2,noun
attention,A2,noun
attentive,B2,adjective
attentively,B2,adverb
attitude,A2,noun
attract,B1,verb
attraction,B1,noun
attractive,A2,adjective
attractiveness,B2,noun
attribute,B2,noun
attribute,B2,verb
atypical,B2,adjective
aubergine,B2,noun
audience,A2,noun
audio,A2,adjective
audit,B2,noun
audition,B2,noun
august,A1,noun
aunt,A1,noun
author,A2,noun
authoritative,B2,adjective
authority,B1,noun
authorize/authorise,B2,verb
automatic,A2,adjective
automatically,A2,adverb
autumn,A1,noun
auxiliary,B1,adjective
availability,B2,noun
available,B1,adjective
avenue,B1,noun
average,A2,adjective
average,A2,noun
avoid,A2,verb
await,B2,verb
awake,A1,adjective
award,A2,noun
award,B1,verb
aware,B1,adjective
awareness,B1,noun
away,A1,adverb
awe,B2,noun
awesome,B1,adjective
awful,A2,adjective
awkward,B1,adjective
ax/axe,B2,noun
axis,B2,noun
baby,A1,noun
babysit,B1,verb
babysitter,B1,noun
back,A2,adjective
back,A1,adverb
back,A1,noun
back,B1,verb
backache,B1,noun
background,A2,noun
backpack,B1,noun
backpacker,B1,noun
backpacking,B1,noun
backup,B2,noun
backward/backwards,B2,adverb
backyard,B2,noun
bacon,B1,noun
bad,A1,adjective
badge,B2,noun
badly,A2,adverb
badminton,A2,noun
bad-tempered,B2,adjective
bag,A1,noun
baggage,B1,noun
bake,A2,verb
baker,B1,noun
bakery,B1,noun
balance,B1,noun
balance,B2,verb
balanced,B2,adjective
balcony,A2,noun
bald,B1,adjective
balky,B2,adjective
ball,A1,noun
ballad,B2,noun
ballet,B2,noun
balloon,A2,noun
ballot,B2,noun
ban,B2,noun
ban,B2,verb
banana,A1,noun
band,A1,noun
bandage,B1,noun
bang,B1,noun
bang,B1,verb
bank,A1,noun
bank,A2,verb
bank account,B1,noun
banker,B2,noun
banking,A2,noun
bankrupt,B2,verb
bankruptcy,B2,noun
bar,A1,noun
bar,B1,verb
barbecue,A2,noun
barbecue,B1,verb
barber,A2,noun
barbershop,B2,noun
bare,B1,adjective
bare,B2,verb
barely,B1,adverb
bargain,A2,noun
bargain,B2,verb
bark,B1,noun
bark,B2,verb
barley,B2,noun
barman,B1,noun
barn,B2,noun
barometer,B2,noun
barrel,B1,noun
barren,B2,adjective
barrier,B2,noun
bartender,B2,noun
base,A2,noun
base,B1,verb
baseball,A1,noun
basement,B1,noun
basic,A2,adjective
basically,A2,adverb
basin,B1,noun
basis,B1,noun
basket,A2,noun
basketball,A1,noun
bat,A1,noun
bat,B1,verb
batch,A2,noun
bath,A1,noun
bathe,B1,verb
bathhouse,B2,noun
bathroom,A1,noun
battery,A2,noun
battle,B1,noun
battlefield,B2,noun
bay,A2,noun
be,A1,be-verb
beach,A1,noun
beagle,B2,noun
beak,B2,noun
beam,B2,noun
bean,A1,noun
bear,A1,noun
bear,A2,verb
beard,B1,noun
bearing,B2,noun
beast,B1,noun
beat,B2,noun
beat,B1,verb
beautiful,A1,adjective
beautifully,B1,adverb
beautify,B2,verb
beauty,A2,noun
beaver,B1,noun
because,A1,conjunction
because of,B1,preposition
become,A1,verb
bed,A1,noun
bedroom,A1,noun
bedside,B1,noun
bee,A1,noun
beef,A1,noun
been,A2,be-verb
beer,A2,noun
before,A1,adverb
before,A2,conjunction
before,A1,preposition
beg,A2,verb
begin,A1,verb
beginner,A2,noun
beginning,A2,noun
behalf,B1,noun
behave,B1,verb
behavior/behaviour,A2,noun
behind,A1,adverb
behind,A1,preposition
being,A1,be-verb
being,A2,noun
belief,B1,noun
believe,A1,verb
bell,A1,noun
bellow,B2,verb
belly,A2,noun
belong,A2,verb
belongings,B2,noun
beloved,B1,adjective
below,A1,adverb
below,A1,preposition
belt,A2,noun
bench,A2,noun
bend,B2,noun
bend,A2,verb
beneath,B1,preposition
beneficial,B2,adjective
benefit,B1,noun
benefit,B2,verb
benevolence,B2,noun
benevolent,B2,adjective
bent,B1,adjective
berry,B2,noun
beside,A1,preposition
besides,A2,adverb
besides,B1,preposition
best,A1,adjective
best,A1,adverb
bestow,B2,verb
bestseller,B2,noun
bet,B1,verb
betray,B2,verb
better,A1,adjective
better,A2,adverb
between,A1,preposition
bewilder,B2,verb
bewilderment,B2,noun
beyond,A2,preposition
bicycle,A1,noun
bid,B2,verb
bidding,B2,noun
big,A1,adjective
bike,A1,noun
bikini,B2,noun
bilingual,B1,adjective
bill,A2,noun
bill,B1,verb
billion,B2,noun
bin,B1,noun
bind,B2,verb
bio,B2,noun
biochemistry,B1,noun
biography,B1,noun
biological,B2,adjective
biology,B1,noun
biotechnology,B2,noun
bird,A1,noun
birdcage,B2,noun
birth,A1,noun
birthday,A1,noun
birthplace,B2,noun
biscuit,A1,noun
bishop,B1,noun
bit,A2,noun
bite,A2,noun
bite,B1,verb
bitter,B1,adjective
bitterly,B2,adverb
bizarre,B2,adjective
black,A1,adjective
black,A1,noun
blackboard,A2,noun
blade,B2,noun
blame,B1,noun
blame,A2,verb
blank,A1,adjective
blanket,A2,noun
blast,B2,noun
blast,B2,verb
blaze,B2,noun
blaze,B2,verb
bleed,B1,verb
blend,B2,noun
blend,B1,verb
bless,B1,verb
blessing,B1,noun
blind,B1,adjective
blindly,B2,adverb
blindness,B2,noun
blink,B2,verb
block,A1,noun
block,B1,verb
blog,B1,noun
blogger,B1,noun
blonde,A2,adjective
blood,A2,noun
bloodstream,B2,noun
bloody,B2,adjective
bloody,B2,adverb
bloom,A2,noun
blooming,B2,adjective
blossom,B2,noun
blow,A2,noun
blow,A1,verb
blue,A1,adjective
blue,A1,noun
blur,B2,verb
blurt,B2,noun
blush,B1,noun
blush,B2,verb
board,A1,noun
board,B1,verb
board game,A2,noun
boast,B1,verb
boat,A1,noun
body,A1,noun
boil,A2,verb
boiled,A2,adjective
boiling,B2,adjective
bold,B1,adjective
bold,B2,noun
boldly,B1,adverb
bolt,B2,noun
bolt,B2,verb
bomb,B1,noun
bomb,B1,verb
bombard,B2,noun
bomber,B2,noun
bombing,B2,noun
bond,B1,noun
bone,A1,noun
bonus,A2,noun
bony,B2,adjective
book,A1,noun
book,B1,verb
bookcase,A2,noun
booking,B1,noun
bookish,B2,adjective
booklet,B2,noun
bookmark,B2,noun
bookmark,B2,verb
bookshelf,A2,noun
bookshop,A2,noun
bookstore,A1,noun
boom,B1,noun
boost,B2,noun
boost,B2,verb
boot,B1,noun
booth,B2,noun
border,B1,noun
bore,B1,verb
bored,A2,adjective
boredom,B1,noun
boring,A1,adjective
borrow,A1,verb
boss,A2,noun
bossy,B2,adjective
botany,B2,noun
both,A1,adverb
both,A1,determiner
both,A1,pronoun
bother,B1,noun
bother,A2,verb
bothered,B2,adjective
bothersome,B2,adjective
bottle,A1,noun
bottle,B2,verb
bottom,A1,noun
bounce,B2,noun
bounce,B1,verb
bound,B1,adjective
bourbon,B2,noun
bow,B1,noun
bow,B2,verb
bowl,A1,noun
bowl,B1,verb
box,A1,noun
boxer,B2,noun
boxing,B1,noun
boy,A1,noun
boyfriend,A1,noun
bra,A2,noun
bracelet,B1,noun
bracket,B2,noun
brag,B2,noun
brain,A1,noun
brainstorm,A2,noun
brainstorming,B1,noun
brake,A2,noun
brake,B2,verb
branch,A2,noun
branch,B1,verb
brand,A2,noun
brand-new,B1,adjective
brass,B1,noun
brave,A2,adjective
bravely,B1,adverb
bravery,B2,noun
bread,A1,noun
break,A2,noun
break,A1,verb
breakable,B2,adjective
breakdown,B2,noun
breakfast,A1,noun
breakthrough,B1,noun
breakup,B2,noun
breast,B1,noun
breath,B1,noun
breathe,A1,verb
breathless,B1,adjective
breathtaking,B2,adjective
breed,B2,noun
breed,B1,verb
breeding,B1,noun
breeze,A2,noun
breezy,B2,adjective
brewery,B2,noun
brick,B1,noun
bride,A2,noun
bridge,A1,noun
brief,B1,adjective
briefly,B1,adverb
bright,A1,adjective
brightly,B1,adverb
brilliant,A2,adjective
brilliantly,B2,adverb
bring,A1,verb
broad,B1,adjective
broadband,B2,noun
broadcast,B1,noun
broadcast,B2,verb
broadcaster,B2,noun
broaden,B2,verb
broadly,B2,adverb
broccoli,B1,noun
brochure,B2,noun
broken,A1,adjective
bronze,B1,noun
brother,A1,noun
brotherhood,B1,noun
brother-in-law,B2,noun
brown,A1,adjective
brown,A2,noun
browse,B2,verb
browser,B2,noun
bruise,B2,noun
brush,A1,noun
brush,A1,verb
bubble,B1,noun
bucket,A1,noun
bud,B2,noun
buddy,B1,noun
budget,B2,adjective
budget,A2,noun
bug,A2,noun
build,A1,verb
builder,B1,noun
building,A1,noun
bulb,A2,noun
bulimia,B2,noun
bull,B1,noun
bullet,B1,noun
bulletin,B1,noun
bully,B2,verb
bum,B2,noun
bump,B1,verb
bumper,B2,noun
bun,B2,noun
bunch,B1,noun
burden,B1,noun
burden,B2,verb
burdensome,B2,adjective
bureau,B1,noun
bureaucracy,B2,noun
burger,A1,noun
burglar,B1,noun
burglary,B2,noun
burgle,B2,verb
burial,B2,noun
burn,A2,noun
burn,B1,verb
burning,B1,adjective
burst,B1,verb
bury,A2,verb
bus,A1,noun
bus station,A2,noun
bus stop,A2,noun
bush,A2,noun
business,A1,noun
businessman,A2,noun
businesswoman,A2,noun
bust,B1,verb
bustle,B2,verb
bustling,B2,adjective
busy,A1,adjective
but,A1,conjunction
but,B1,preposition
butcher,B1,noun
butcher,B2,verb
butter,A1,noun
butterfly,A1,noun
button,A1,noun
buy,A1,verb
buyer,B1,noun
buzz,B2,noun
buzz,B2,verb
by,A1,preposition
bye,A1,noun
cab,A2,noun
cabbage,B1,noun
cabin,B1,noun
cabinet,B2,noun
cable,B2,noun
cafe/café,A1,noun
cafeteria,A2,noun
cage,B1,noun
cake,A1,noun
calculate,B1,verb
calculation,B1,noun
calculator,B1,noun
calendar,A2,noun
calf,B1,noun
call,A1,noun
call,A2,verb
caller,B1,noun
calm,B1,adjective
calmly,B2,adverb
calmness,B1,noun
camel,B1,noun
camera,A1,noun
camp,A1,noun
camp,A2,verb
campaign,B2,noun
camping,A2,noun
campsite,B1,noun
campus,A2,noun
can,A1,modal auxiliary
can,A2,noun
canal,B1,noun
cancel,B1,verb
cancer,B1,noun
candidate,B2,noun
candle,B1,noun
candy,A1,noun
cane,B2,noun
canned,B1,adjective
cannonball,B2,noun
canon,B2,noun
canteen,B1,noun
cap,A1,noun
capability,B2,noun
capable,B1,adjective
capacity,B1,noun
capital,A2,noun
capital letter,A2,noun
capsule,B1,noun
captain,A2,noun
caption,B2,noun
captive,B2,noun
capture,B1,noun
capture,B1,verb
car,A1,noun
car park,A2,noun
caravan,B2,noun
carbon,B2,noun
carbon dioxide,B2,noun
carbon footprint,B2,noun
carbon monoxide,B2,noun
card,A1,noun
cardboard,B2,noun
cardigan,B2,noun
care,A1,noun
care,B1,verb
career,B1,noun
carefree,B2,adjective
careful,A1,adjective
carefully,A1,adverb
careless,B1,adjective
carelessly,B1,adverb
carelessness,B1,noun
caring,B2,adjective
carnival,B2,noun
carpet,B1,noun
carpool,B2,noun
carriage,B1,noun
carrot,A2,noun
carry,A1,verb
carton,B1,noun
cartoon,A1,noun
carve,B2,verb
cascade,B2,noun
case,A1,noun
cash,A2,noun
cashpoint,B1,noun
cassette,A2,noun
cast,B2,noun
cast,B2,verb
castle,A2,noun
casual,B1,adjective
casually,B2,adverb
cat,A1,noun
catalog/catalogue,B2,noun
catalyst,B2,noun
catastrophe,B2,noun
catastrophic,B2,adjective
catch,A1,noun
catch,A1,verb
catchy,B2,adjective
categorization/categorisation,B2,noun
categorize/categorise,B1,verb
category,B1,noun
catering,B2,noun
cathedral,B2,noun
cattle,B1,noun
cause,B2,noun
cause,A2,verb
caution,B1,noun
cautious,B1,adjective
cave,B1,noun
cd,A1,noun
cd player,A1,noun
cd-rom,B1,noun
cease,B2,verb
ceiling,B2,noun
celebrate,A1,verb
celebration,A1,noun
celebrity,B1,noun
cell,B1,noun
cellar,B2,noun
cellist,B2,noun
cello,B2,noun
cemetery,B2,noun
cent,A2,noun
center/centre,A2,noun
centigrade,B2,noun
centimeter/centimetre,A2,noun
central,B1,adjective
central heating,B1,noun
century,A2,noun
cereal,A2,noun
ceremony,B1,noun
certain,A2,adjective
certainly,A2,adverb
certainty,B1,noun
certificate,B2,noun
certification,B2,noun
certify,B2,verb
chain,A2,noun
chair,A1,noun
chairman,A2,noun
challenge,A2,noun
challenge,B2,verb
challenging,B1,adjective
champagne,A2,noun
champion,B1,noun
championship,A2,noun
chance,A2,noun
chancellor,B2,noun
change,A1,noun
change,A1,verb
channel,B1,noun
chaos,B1,noun
chaotic,B2,adjective
chapter,A2,noun
character,A1,noun
characteristic,B2,adjective
characteristic,B1,noun
characterize/characterise,B1,verb
charge,B1,noun
charge,B1,verb
chariot,B1,noun
charity,B1,noun
charm,B1,noun
charming,B2,adjective
chart,A2,noun
chase,B1,noun
chase,B2,verb
chat,B1,noun
chat,A2,verb
chat show,B1,noun
cheap,A2,adjective
cheat,B2,verb
check,A1,noun
check,A2,verb
check-in counter/check-in,B1,noun
check-in desk/check-in,B1,noun
checkout,B1,noun
checkpoint,B2,noun
cheek,A2,noun
cheeky,B2,adjective
cheer,A2,verb
cheerful,B1,adjective
cheerfully,B2,adverb
cheerfulness,B2,noun
cheese,A1,noun
chef,A2,noun
chemical,A2,adjective
chemical,B1,noun
chemist,B1,noun
chemistry,B1,noun
chemotherapy,B2,noun
cheque,A2,noun
cherish,B1,verb
cherished,B2,adjective
cherry,B2,noun
chess,A2,noun
chest,A2,noun
chest of drawers,B1,noun
chew,B2,verb
chewing gum,B1,noun
chicken,A1,noun
chief,B1,adjective
chief,B2,noun
child,A1,noun
childhood,A2,noun
childish,B2,adjective
chili/chilli,A2,noun
chimney,B2,noun
chimpanzee,A2,noun
chin,A2,noun
chip,B2,noun
chirp,A2,noun
chocolate,A1,noun
choice,A2,noun
choir,B1,noun
choke,B1,verb
choose,A1,verb
chop,B2,verb
christian,B1,adjective
chronological,B1,adjective
chuckle,B1,noun
chunk,B2,noun
church,A1,noun
cigarette,A2,noun
cinema,A1,noun
circle,A1,noun
circle,B1,verb
circuit,B2,noun
circuitry,B2,noun
circular,B1,adjective
circumstance,B2,noun
circus,B1,noun
citizen,A2,noun
citizenship,B1,noun
city,A1,noun
citywide,B2,adjective
civil,B1,adjective
civilization/civilisation,B1,noun
claim,B1,noun
claim,A2,verb
clam,B2,noun
clap,B2,verb
clarify,B2,verb
class,A1,noun
classic,A2,adjective
classic,B2,noun
classical,B1,adjective
classical music,A2,noun
classification,B2,noun
classify,B1,verb
classmate,A1,noun
classroom,A1,noun
clause,B2,noun
clean,A1,adjective
clean,A1,verb
cleaner,A2,noun
clear,A2,adjective
clear,B1,verb
clearly,A2,adverb
clearness,B2,noun
clerical,B2,adjective
clerk,A2,noun
clever,A1,adjective
click,B1,noun
click,A2,verb
client,B2,noun
cliff,B1,noun
climate,B1,noun
climate change,B2,noun
climb,A1,noun
climb,A2,verb
climber,B1,noun
climbing,A2,noun
clinic,B1,noun
clip,B1,noun
clock,A1,noun
clog,B2,verb
clone,A2,verb
close,A1,adjective
close,A1,verb
closed,A1,adjective
closely,B1,adverb
closure,B2,noun
cloth,A1,noun
clothes,A1,noun
clothing,B2,noun
cloud,A1,noun
cloudy,A1,adjective
clown,A2,noun
club,A1,noun
clue,A2,noun
clumsy,B2,adjective
coach,A1,noun
coach,B2,verb
coaching,B2,noun
coal,B1,noun
coalition,B2,noun
coarse,B2,adjective
coast,A2,noun
coast,B1,verb
coastal,B1,adjective
coastline,B2,noun
coat,A1,noun
cocktail,B2,noun
cocoa,B2,noun
coconut,B2,noun
cod,B1,noun
code,A1,noun
coffee,A1,noun
coffin,B1,noun
coherence,B2,noun
coherent,B2,adjective
coin,A2,noun
coincide,B2,verb
coincidence,B2,noun
coke,A1,noun
cola,A2,noun
cold,A1,adjective
cold,A1,noun
collapse,B1,noun
collapse,B2,verb
collar,B1,noun
colleague,B2,noun
collect,A1,verb
collection,A1,noun
collector,B2,noun
college,A1,noun
collocation,B2,noun
colon,B2,noun
colonial,B2,adjective
color/colour,A1,noun
color/colour,A1,verb
colorful/colourful,A2,adjective
column,A2,noun
columnist,B1,noun
coma,B2,noun
comb,A2,noun
comb,B2,verb
combination,B1,noun
combine,B1,verb
come,A1,verb
comedian,B1,noun
comedy,B1,noun
comet,B1,noun
comfort,B1,noun
comfortable,A2,adjective
comfortably,B2,adverb
comic,A2,adjective
comic,A2,noun
comma,B1,noun
command,B1,noun
commander,B2,noun
commemorate,B2,verb
comment,B1,noun
comment,B2,verb
commerce,B2,noun
commercial,B1,adjective
commercial,B2,noun
commission,B2,noun
commit,B1,verb
commitment,A2,noun
committee,A2,noun
common,A2,adjective
common sense,B1,noun
commonly,B1,adverb
commonwealth,B2,noun
communicate,A2,verb
communication,A2,noun
communicative,B2,adjective
community,B2,noun
commute,B2,verb
companion,B1,noun
company,A2,noun
comparative,A2,noun
compare,A2,verb
comparison,B1,noun
compassion,B2,noun
compassionate,B2,adjective
compatible,B2,adjective
compensate,B2,verb
compensation,B2,noun
compete,B1,verb
competence,B2,noun
competent,B2,adjective
competition,A2,noun
competitive,B1,adjective
competitor,B1,noun
compile,B2,verb
complain,A2,verb
complaint,A2,noun
complement,B1,noun
complete,A2,adjective
complete,B1,verb
completely,B1,adverb
completion,B2,noun
complex,B1,adjective
complexion,B2,noun
complexity,B2,noun
complicate,B1,verb
complicated,B1,adjective
compliment,B1,noun
component,B2,noun
compose,B1,verb
composer,A2,noun
composition,B1,noun
compound,B1,noun
comprehension,B2,noun
comprehensive,B2,adjective
compress,B2,noun
compression,B2,noun
compromise,B1,noun
compromise,B2,verb
compulsory,B2,adjective
compute,B2,verb
computer,A1,noun
conceal,B2,verb
concede,B2,verb
conceit,B2,noun
conceivable,B2,adjective
conceive,B2,verb
concentrate,A2,verb
concentration,B1,noun
concept,B1,noun
conception,B2,noun
concern,A2,noun
concern,B2,verb
concerned,B1,adjective
concerning,B2,preposition
concert,A1,noun
concession,B2,noun
conclude,B1,verb
conclusion,B1,noun
concrete,B2,adjective
concrete,B2,noun
condemn,B2,verb
condition,A2,noun
conduct,B1,noun
conduct,B2,verb
conductor,B2,noun
cone,B2,noun
conference,B2,noun
conferencing,B2,noun
confess,B2,verb
confession,B2,noun
confidence,B1,noun
confident,A2,adjective
confidently,B2,adverb
confine,B2,verb
confirm,B1,verb
confirmation,B1,noun
conflict,B1,noun
confront,B2,verb
confuse,A2,verb
confused,A2,adjective
confusing,B1,adjective
confusion,B1,noun
congratulate,B1,verb
conjunction,B2,noun
connect,B1,verb
connection/connexion,B1,noun
conquer,B1,verb
conquest,B2,noun
conscience,B2,noun
conscious,B1,adjective
consciousness,B2,noun
consensus,B2,noun
consent,B2,noun
